video_id,channel_id,title,description,publishedAt,categoryId,viewCount,likeCount,dislikeCount,commentCount,topicId,video_title,published,video_views,video_madeforkids,video_likes,video_comment_count,video_length,video_title_clean
3jS_yEK8qVI,,,,,,,,,,,Worlds Most Dangerous Escape Room,2022-01-29T21:00:01Z,142291153,False,4229031,144977,8:1,Worlds Most Dangerous Escape Room
00NgUctWoLQ,,,,,,,,,,,Extreme 1000000 Hide And Seek,2021-12-18T21:00:00Z,75792519,False,3270048,135428,12:9,Extreme 1000000 Hide And Seek
x9TQ6culXIA,,,,,,,,,,,1000000 Influencer Tournament,2021-12-16T21:00:00Z,60217217,False,2843376,91984,12:5,1000000 Influencer Tournament
QbJJwaVdgIs,,,,,,,,,,,I Got Hunted By The Military,2021-12-10T21:30:02Z,94664751,False,3244752,97396,11:2,I Got Hunted By The Military
0e3GPea1Tyg,,,,,,,,,,,456000 Squid Game In Real Life,2021-11-24T21:00:01Z,298212759,False,14512851,611343,25:42,456000 Squid Game In Real Life
cV2gBU6hKfY,,,,,,,,,,,I Cleaned The Worlds Dirtiest Beach TeamSeas,2021-10-29T19:59:43Z,71111580,False,4698961,179274,4:55,I Cleaned The Worlds Dirtiest Beach TeamSeas
qIsgdOVGA04,,,,,,,,,,,Last To Take Hand Off Lamborghini Keeps It,2021-10-23T20:00:01Z,110430427,False,3773840,130595,15:43,Last To Take Hand Off Lamborghini Keeps It
cExLQ1o2pDw,,,,,,,,,,,First To Rob Bank Wins 100000,2021-09-26T20:00:06Z,90994817,False,3012321,123886,8:2,First To Rob Bank Wins 100000
uocETPj4Jx4,,,,,,,,,,,Extreme 500000 Game Of Tag,2021-09-04T20:00:07Z,88288480,False,3327319,101930,12:40,Extreme 500000 Game Of Tag
zxYjTTXc-J8,,,,,,,,,,,Last To Leave Circle Wins 500000,2021-08-31T20:01:03Z,206518357,False,4818963,111801,19:26,Last To Leave Circle Wins 500000
hxwpkM5w3Cc,,,,,,,,,,,I Got Hunted By The FBI,2021-08-07T23:00:03Z,112308189,False,3172788,92696,15:51,I Got Hunted By The FBI
ktyJIj6i4Qw,,,,,,,,,,,If You Can Carry 1000000 You Keep It,2021-07-24T20:00:59Z,94487488,False,2556601,74548,10:45,If You Can Carry 1000000 You Keep It
urtFrxDUV6c,,,,,,,,,,,Would YOU Quit School For 100000,2021-07-10T20:00:09Z,81355729,False,2448395,81720,11:34,Would YOU Quit School For 100000
nM89Wl03Q4g,,,,,,,,,,,I Survived 50 Hours In A Maximum Security Prison,2021-06-26T20:00:02Z,127513228,False,2781626,98974,12:38,I Survived 50 Hours In A Maximum Security Prison
NZlClr_ivb4,,,,,,,,,,,Hit The Target Win 300000,2021-06-12T20:00:01Z,112645394,False,2872666,86164,15:4,Hit The Target Win 300000
E6E22XQPhhg,,,,,,,,,,,Anything You Can Fit In The Triangle Ill Pay For,2021-06-01T20:00:02Z,98411074,False,2560796,87334,16:8,Anything You Can Fit In The Triangle Ill Pay For
TQHEJj68Jew,,,,,,,,,,,I Got Hunted By A Real Bounty Hunter,2021-04-24T20:00:00Z,110516376,False,3180023,126582,14:21,I Got Hunted By A Real Bounty Hunter
WcwGleN38zE,,,,,,,,,,,Extreme 100000 Game of Tag,2021-04-17T20:00:00Z,115338148,False,2723891,119369,16:54,Extreme 100000 Game of Tag
fMfipiV_17o,,,,,,,,,,,Would You Sit In Snakes For 10000,2021-04-10T21:00:07Z,170253937,False,4048827,139383,14:9,Would You Sit In Snakes For 10000
ayXxwJJId_c,,,,,,,,,,,I Bought The Worlds Largest Mystery Box 500000,2021-04-03T20:00:01Z,144765686,False,3738098,170617,11:49,I Bought The Worlds Largest Mystery Box 500000
9bqk6ZUsKyA,,,,,,,,,,,I Spent 50 Hours Buried Alive,2021-03-27T20:00:04Z,200862574,False,6259690,240313,12:40,I Spent 50 Hours Buried Alive
DuQbOQwVaNE,,,,,,,,,,,Offering People 100000 To Quit Their Job,2021-03-13T21:00:02Z,98247959,False,2928467,119297,10:27,Offering People 100000 To Quit Their Job
vJH28ICkCdU,,,,,,,,,,,I Sold My House For 1,2021-03-06T21:00:02Z,101658167,False,3139251,117431,9:20,I Sold My House For 1
_uwNDiU04zE,,,,,,,,,,,If You Press This Ill Pay,2021-02-13T21:00:01Z,46895925,False,2777972,152564,11:5,If You Press This Ill Pay
C680oxL__ck,,,,,,,,,,,I Ate 100000 Golden Ice Cream,2021-01-22T21:00:03Z,139704989,False,4147482,168419,13:17,I Ate 100000 Golden Ice Cream
5Fg9oZk-5uA,,,,,,,,,,,I Bought Everything In 5 Stores,2021-01-09T21:01:25Z,97445362,False,4098847,189245,14:14,I Bought Everything In 5 Stores
PKtnafFtfEo,,,,,,,,,,,Youtube Rewind 2020 Thank God Its Over,2021-01-01T21:00:03Z,62238390,False,4861102,291431,6:31,Youtube Rewind 2020 Thank God Its Over
f0c7pSCoZqE,,,,,,,,,,,I Put 1000000 Christmas Lights On A House World Record,2020-12-23T21:00:06Z,65165156,False,2335188,109555,11:22,I Put 1000000 Christmas Lights On A House World Record
dg2Ag3e8W-Q,,,,,,,,,,,I Opened A Restaurant That Pays You To Eat At It,2020-12-19T22:00:03Z,121766778,False,4056572,728539,10:47,I Opened A Restaurant That Pays You To Eat At It
