id,customUrl,video_category,viewCount,subscriberCount,videoCount
UCJcycnanWtyOGcz34jUlYZA,@incrediblescience,Hobby,350138531,847000,623
UCxo8ooAqXiObjuaIy10ud0A,@beyondscience,Lifestyle,349942608,2040000,480
UCmQXOAse-VnzuXHebX5I77g,@charlieissocoollike,,0,2120000,0
UCHJuQZuzapBh-CuhRYxIZrg,@insider,Lifestyle,4423952458,7870000,7425
UCyEd6QBSgat5kkC6svyjudA,@markwiens,Lifestyle,2215066319,9360000,1263
UCchgIh8Tc4sTmBfnMQ5pDdg,@ricksteves,Lifestyle,346822518,1610000,1919
UCGaOvAFinZ7BCN_FDmw74fQ,@expedia,Tourism,290602187,1140000,674
UC8hI77bH0VraIw6p2PHwivQ,@missminaoh,Tourism,180452331,1150000,344
UCXsQlHGuoWqukC9vz-uonrg,@collinabroadcast,Tourism,163749185,1460000,91
UCdPambxHRj0kdFPNoJFM98A,@georgebenson,Sport,151941207,1020000,1266
UC_ptyMRLOsS1Uj0a34a_xCA,@chonnyday,Food,126569583,689000,427
UCJsSEDFFnMFvW9JWU6XUn0Q,@seekerstories,Lifestyle,88299661,542000,257
UCd5xLBi_QU6w7RGm5TTznyQ,@sundayfundayz,Tourism,75488060,643000,400
UC295-Dw_tDNtZXFeAPAW6Aw,@5minutecraftsyoutube,Hobby,24469263512,77900000,5759
UC20vb-R_px4CguHzzBPhoyQ,@eminemvevo,Music,19206117646,72900000,99
UCyQYuccSyUIz24KcDqt1uAA,@edsheeranvevo,Music,1104191,929000,2
