video_id,new_length
phh7S1_M52o,186.0
lymlsg8Av_M,253.0
A0a7IKrscMQ,96.0
RMrcKVzwqyU,163.0
NI4qHvsjz7I,266.0
Zl64MRAqQxk,214.0
cE2E6bj0Hg4,269.0
OiBSeGoc9FQ,377.0
qaba5mffrcw,213.0
vs-Bsqt5ooQ,279.0
_wN3wl473M0,304.0
7MO_hy5NyIw,51.0
RjrA-slMoZ4,287.0
EksSDDte7EM,194.0
hAafcgZkots,357.0
ImnufvMMNao,287.0
darZbXulSDI,326.0
Ju59hI8hP4w,313.0
li_Z2HypUw8,47.0
4haurn3S8z8,258.0
PgFC7fFtzg4,259.0
DlOMEMFkyIk,260.0
gXH7_XaGuPc,258.0
Q4JCbKDQsks,31.0
FVeZcM6tBQU,237.0
RkZQzzNkcXo,341.0
qleJpzB4q7A,302.0
jfobiCq0YUc,336.0
3qFvCPmee8U,213.0
hlFOLS7vKaQ,174.0
MHZGOJ1kysc,217.0
RnNJ7uVR7hM,235.0
cmxdavhOg0Q,195.0
o6BYffaYzL4,178.0
9XvXF1LrWgA,211.0
skn7T_XPQnY,338.0
ftujE679Wx0,266.0
BZ09A39xECk,287.0
yf52IpdAZKg,214.0
0WkIZwM5_vc,201.0
H5v-FO-jMS0,178.0
7jR65jnUyvA,171.0
trmoIfUVctQ,178.0
HSADF70r-a8,248.0
RuEJucg1boQ,201.0
qZp5gf9xgnE,303.0
RHQC4fAhcbU,370.0
rkU_t3aQU3c,125.0
p28xueW134o,175.0
X-TkrWpO75k,223.0
TGWhv8JMyr8,665.0
7xUYUJ69BnE,7229.0
cozHsxwBfJE,317.0
IGbvF1yBsv8,467.0
iQEaYnG25_U,61.0
Zn2k0getlRI,61.0
23g5HBOg3Ic,263.0
MQg7WZoTqxk,23.0
VERcf4ALkmo,190.0
JUhIdYwGzrQ,77.0
24yDm2pW1wE,50.0
qXamQbOzwjg,48.0
Y1_9s0B7kdg,28.0
nRrLesAkh5w,55.0
9G5W_Pl7Ydk,232.0
TAInmY804Fg,178.0
CnVD9KLAOrA,250.0
xMTMV472dQk,154.0
RGXtnTH_pww,219.0
oTi6f7b_wJ8,140.0
vBPFdmotU_4,171.0
Z_MvkyuOJgk,208.0
A8cXaCtUrT8,65.0
bqtMJ391poA,228.0
wyE9x5HETkY,185.0
2qzcHLyv3N0,187.0
gPniyexd_BE,193.0
HuzlYAMwwJY,267.0
5QIbxwNQR0s,188.0
f_zpcGKgXgw,203.0
0od4BrE4O98,12.0
H2LnXIHCfT0,212.0
H-j57M4JSQ4,208.0
Q_yuO8UNGmY,210.0
Dhk8CKwHHfs,48.0
lXwp45hgXck,250.0
NY-emABeVdc,221.0
xWR7wOBkRHs,242.0
8DtlsMVpLms,409.0
xT3oKv3ybcA,238.0
ZBlhXryUENA,208.0
k6ZoE4RrcDs,287.0
P_kRTqaD8Mc,201.0
y6oryBG8xeQ,191.0
Bms39BUQBFw,233.0
0qTQR92UuUA,241.0
m9f4XtNj1Vg,189.0
gbcGk-xYG_M,227.0
Ykq2qn1jjGk,213.0
3d6IKK7tmXY,158.0
JATT-mgGiPQ,210.0
wQpU_v2cH_w,195.0
1eI5HrQe0Fc,199.0
BnyvDBGojoQ,207.0
X6SuW5HhQoc,202.0
VronettmNRI,1322.0
RiM0moNk74o,416.0
uL52DajINdY,261.0
F6OOVNethn8,252.0
dDIJBIZtTyM,185.0
ZTF6vF7nHlM,198.0
r2XJ9P1NvJc,215.0
fLFvbwrWLQY,195.0
Cvofj7K_5Iw,202.0
Yv8Zih_Lt7o,292.0
djpz4OdGuJ4,132.0
cylK0XOJsPs,130.0
rFA11HZu-RU,125.0
1zNYZd94ui8,123.0
5ahkLW00XTI,1176.0
ssq6X6alZ3w,244.0
4yf-PZDQ_34,181.0
oTU2R4JRGQg,68.0
B6_iQvaIjXw,221.0
H5KCHzVnyFQ,95.0
u7GAXfrajHc,185.0
nQJEp-k-ogs,203.0
dvndP8di-Uw,241.0
LBBZeJhteRE,210.0
Lj4-SIa9bbk,169.0
zMEzD2G2IKA,151.0
iyOSupKevog,134.0
cnyCcF20pRo,175.0
9MogWz-LHXI,159.0
A3BuLzTvo0o,202.0
MY8K95oaexQ,181.0
Sujm6756pZU,160.0
9Sldg-8dVGU,148.0
MWo0Tiaryu4,188.0
Xsb9flAEymA,174.0
tcYodQoapMg,178.0
pE49WK-oNjU,258.0
pX1puTIogCw,389.0
5QPp0ADPW54,234.0
YSE2UWIVPNE,206.0
ZaIUv-JBYs8,175.0
ph_X7RFPfNA,213.0
dMCgX6Xn5Rk,227.0
kC55_wJfp6U,180.0
ky5UKw3QXjY,126.0
Iro6P2-fiyo,163.0
tN2nrNSwj-w,140.0
XKTbhCwtS6E,45.0
lmIdj-na0R0,930.0
UVZON2XkHTI,271.0
IjvQlpNL00I,47.0
CiNn4tc6wV4,626.0
jvIOEj6sous,278.0
OjZ0njFUDcI,303.0
vAd2KNAApPE,780.0
N4XHuN1UIKE,398.0
6x0S4PP1_84,1015.0
QvHQS4HrUUI,146.0
fp2JtLCckfM,275.0
mc_Weykib1k,225.0
n-hE3yeDeNE,662.0
_GCdn9dFcaA,172.0
1p2ecTJvDIE,629.0
UfV88oRpT6I,300.0
k0g3v-Wb8lY,900.0
Sp8-6_lZ-QU,277.0
VJWwUji7des,759.0
aOH-7G94PqQ,253.0
4xXu8VNa4as,725.0
JvxuRjJfBIQ,237.0
qnGxCqMwQMU,893.0
CFa5LR1jPms,240.0
DOoi7FD787I,601.0
jK55m7cYFYM,314.0
Fzy7CLITaNQ,661.0
RtsW15JTVLI,761.0
pqhhQhAvg-E,804.0
RJvU55LDqh8,740.0
AzNHM29ME7s,817.0
MmWs8S1yhdY,113.0
IaemBpiWmXI,687.0
hgYsAqIxfbU,135.0
w0GIpMK12Zk,3601.0
TFVymV1dcE8,1837.0
w0SjWMUd8GY,3604.0
XBjCeWx8gG4,261.0
lRdYFaKgwcw,230.0
98KBk5nXRo4,1772.0
x3CO7K46IFU,39.0
p2o5IZqs8RU,234.0
paoj8wPKg30,2316.0
eXvItUnMnp0,210.0
1nfLc4Lg-gw,278.0
N9YkK4zZbtA,1931.0
7-JhI5aPFpg,42.0
pp32dMj_Fwc,2154.0
lM1P2JwZ5jE,16.0
yJ_GML26Xk4,10.0
b7QlX3yR2xs,354.0
ycE7bUq3-2k,260.0
ySZGZrcqvr4,200.0
xTXsKMXUi7w,252.0
xxrf_QBD5DE,215.0
lvHZjvIyqsk,223.0
mkR_Qwix4Ho,207.0
rn0brgg2BpI,193.0
iFX6_9h7th0,244.0
rg18Kf4en2o,210.0
l8Tps3PITx4,224.0
X0Jti9F-oQA,229.0
XzKSPRqFg9E,199.0
Y2a73EvnZ4s,152.0
Uoey4W_3bos,170.0
Tmz1lz0zcLQ,195.0
XqN2qFvY64U,204.0
B-MfwP_RmHY,264.0
Odh9ddPUkEY,180.0
7Gbg6Z70J7E,199.0
U1IqinpmpQE,16.0
9Wx2It8SbLs,16.0
b1kbLwvqugk,310.0
Jo-8VaRU4ok,31.0
3fUS9GAMxv4,8.0
egxyRSb_XtI,174.0
3Q94kA7llGw,269.0
mvxQYPR4lmU,248.0
mCWRjuhRRYg,226.0
gRo0ZtgB2io,601.0
r0yq_yXFQhg,601.0
pPrdGE4w9ZM,613.0
UDzPTerKZn8,331.0
5UMCrq-bBCg,376.0
nJr_8l0AEWE,608.0
tollGa3S0o8,896.0
sRxrwjOtIag,613.0
lPvcwgEuKTg,224.0
R_rUYuFtNO4,221.0
flv8AEWrRMI,241.0
u1D1AgDfreg,241.0
zJFcr1KyFqE,195.0
w1AV_35zVwU,245.0
TqAollrUJdA,221.0
OhJ-S9Nrh7Q,208.0
rVuyi-dPMIc,203.0
m3fWCRvz5JA,263.0
3qKsLgmxKKk,
LGPhGWxC44U,
ZK7nufy9Ez0,
u6sgBgxz5xo,
fBfn2jQ2BvA,
D6kcKQHbcuk,
6EDRS03knnI,
21y0Hc7SpNw,
AORAroCB8f4,
XgTRfT366lk,
TgOUc4TGoMA,
kU5BjTybMMw,
Q6nV_YOfm1c,225.0
Y7DlTvUUpn8,184.0
ummNgYTjANY,221.0
ldwkzCEkxsg,
lBb4zKFpUPw,
3zz_bvYJrkg,172.0
rPycUUsLbBc,
lcMeQeGfYhs,285.0
aB1qgqokXeY,
84o-UzEPdp0,222.0
KBB8aMr2VzE,234.0
e3UqAZ1-pOc,238.0
y2n1-DOWdgM,197.0
x_uD_Kw7G54,186.0
ipozx7pSuLw,
KqASP1axD4o,
iTvgERf6Fzk,220.0
35T7YLphLYI,
xTqvE_5bogQ,185.0
ANNnvAtaDiE,
ZHykPcuYlyE,
J-D6o5JrnN4,
TJWOjfp9vxY,
HrHdYLGhRu8,
JawBnjzcGRI,
P2ccgOoP30M,
p6ZPzfXNR8I,
RsxP0vnUmtg,
aNsOFBoTH5s,
TSlcb6kI5Dc,
Z0Fi9EiuDVk,
2Gv1mnLG8QQ,
6M8KvwYFrZE,
JiBrq9vGJZg,
r9v0O2S5sTE,
p4wcGfwCMW8,
w5OxqNe7Ays,
AlBc606v06U,157.0
UQphbBmXI-E,265.0
WyrZYGmoaFM,208.0
onT3z0lCZz8,217.0
_JGGLJMpVks,282.0
1TfDbTGTvcg,190.0
H_hgw-V-wBI,312.0
77UFV6FaDPo,257.0
-1U6jv6SzWY,752.0
h6mnfec7bTc,202.0
PebrOQm_SZQ,180.0
XPfW6mGx1SA,306.0
afdZ0kbLwt0,203.0
G_BhUxx-cwk,219.0
vuhYSH36aSM,214.0
_18xpepmbcE,492.0
6360FasOvdg,307.0
KGK1hseCozI,307.0
